timestamp,open,high,low,close,volume
2008-05-09,212.5100,220.4600,209.6000,212.0000,2041200
2008-05-02,202.6000,217.5800,198.4500,216.2500,1866400
2008-04-25,204.4200,206.6900,190.8000,203.3400,2040900
2008-04-18,207.0000,210.4300,197.7100,204.3500,3481800
2008-04-11,226.0000,227.1800,206.1000,207.5000,2019300
2008-04-04,199.2500,225.3900,197.5600,219.9800,2526500
2008-03-28,205.7500,231.9200,195.8000,199.4000,4257900
2008-03-20,172.5300,207.3700,165.7200,206.1000,4280300
2008-03-14,182.5600,193.3300,175.5500,178.9900,3007600
2008-03-07,190.0100,205.1800,180.8300,183.5600,4429800
2008-02-29,184.6900,204.7000,183.2400,193.2500,2346800
2008-02-22,197.0200,199.2300,179.2800,185.5800,4184100
2008-02-15,205.2900,209.0600,191.8900,195.7800,2262300
2008-02-08,217.4800,220.3600,203.4500,204.9000,2291000
2008-02-01,206.3800,231.9900,204.7500,220.5500,3080700
2008-01-25,195.0000,219.3199,190.0000,208.0500,3172400
2008-01-18,206.0100,217.9800,193.3200,201.5000,4398200
2008-01-11,214.3400,214.3400,195.3700,204.0600,3868800
2008-01-04,219.0000,227.4900,208.5800,210.9800,1939100
2007-12-28,217.9800,223.2000,214.7600,219.3500,1385700
2007-12-21,209.4900,217.9700,201.2600,216.1500,1710000
2007-12-14,215.0300,224.5400,202.5300,208.9500,2697200
2007-12-07,201.8400,216.3500,197.2100,213.1600,2162300
2007-11-30,189.6200,202.8300,186.2500,198.3700,1896500
2007-11-23,189.5800,191.7000,182.1000,190.6000,1729100
2007-11-16,193.2300,198.6000,188.4400,192.2400,2149900
2007-11-09,198.9000,198.9000,185.7100,191.2000,2562400
2007-11-02,199.2500,207.3200,194.4200,199.3000,2422000
2007-10-26,186.0000,202.9400,184.2100,198.4300,3076500
2007-10-19,183.5000,198.7800,180.3000,186.7200,3451200
2007-10-12,179.3200,188.0800,178.1000,184.0000,1546900
2007-10-05,174.0500,180.0800,172.1800,179.3200,1529800
2007-09-28,170.1500,173.7500,164.1600,173.4100,980100
2007-09-21,158.8000,175.0000,157.5900,170.0800,1674800
2007-09-14,152.8400,159.1900,149.8600,158.2100,1017700
2007-09-07,153.9500,158.7600,151.9100,152.5900,773600
2007-08-31,158.5000,160.2000,149.5800,155.1000,1297000
2007-08-24,161.5800,163.4400,154.5500,158.6600,2257400
2007-08-17,160.5700,168.7500,139.2000,161.2500,5059000
2007-08-10,151.0300,164.9900,150.0500,158.0000,3225400
2007-08-03,162.5000,167.0500,149.9100,151.0000,3150500
2007-07-27,173.0000,174.6000,161.1100,163.4500,2722700
2007-07-20,168.8000,179.9700,163.0700,171.5100,4455900
2007-07-13,166.0000,169.6000,162.0200,168.8500,1646500
2007-07-06,158.0500,167.1000,157.6500,165.6500,1086700
2007-06-29,155.4100,160.0000,153.9300,156.5900,1852000
2007-06-22,158.0000,162.6200,153.2900,155.5100,3637700
2007-06-15,152.6700,159.1000,151.8500,157.9000,2135300
2007-06-08,152.4000,155.4200,148.1000,152.0200,1608300
2007-06-01,147.0000,154.6000,145.0000,154.3000,1884300
2007-05-25,150.2000,150.3000,144.1000,144.9800,1865300
2007-05-18,148.9000,149.3000,143.6900,148.2000,1989300
2007-05-11,150.2880,151.4000,144.6000,149.0900,1966000
2007-05-04,151.4900,151.5600,147.5000,148.9200,1802800
2007-04-27,155.0900,161.4500,150.0000,151.4900,1645200
2007-04-20,158.6000,162.8300,153.1800,154.8400,2111900
2007-04-13,156.2600,158.6600,153.7200,157.8600,988900
2007-04-05,156.1700,157.0000,153.7200,156.5100,593700
2007-03-30,160.7500,161.8899,154.5200,156.3100,770000
2007-03-23,156.0700,160.3900,154.0800,160.3600,1309300
2007-03-16,158.6300,159.6200,151.3200,156.0700,1195500
2007-03-09,153.9300,159.5900,152.1900,158.6200,1194100
2007-03-02,174.3500,174.7500,154.2900,155.7000,1703600
2007-02-23,173.9000,175.9000,172.5500,174.3500,926400
2007-02-16,172.0000,176.6000,170.0700,173.5400,1563500
2007-02-09,169.8900,180.3000,169.4201,173.6800,1346100
